DEBUG 2015-09-11 15:30:07,472 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.001) SELECT `auth_user`.`id`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`password`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`is_superuser`, `auth_user`.`last_login`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 ; args=(1,)
DEBUG 2015-09-11 15:30:07,476 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `auth_group`.`id`, `auth_group`.`name` FROM `auth_group` INNER JOIN `auth_user_groups` ON (`auth_group`.`id` = `auth_user_groups`.`group_id`) WHERE `auth_user_groups`.`user_id` = 1 ; args=(1,)
DEBUG 2015-09-11 15:30:07,476 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.001) SELECT `auth_user`.`id`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`password`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`is_superuser`, `auth_user`.`last_login`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 ; args=(1,)
DEBUG 2015-09-11 15:30:07,481 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `clawer_userprofile`.`id`, `clawer_userprofile`.`user_id`, `clawer_userprofile`.`nickname` FROM `clawer_userprofile` WHERE `clawer_userprofile`.`user_id` = 1 ; args=(1,)
DEBUG 2015-09-11 15:30:09,275 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `auth_user`.`id`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`password`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`is_superuser`, `auth_user`.`last_login`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 ; args=(1,)
DEBUG 2015-09-11 15:30:09,276 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT COUNT(*) FROM `clawer_claweranalysislog`; args=()
DEBUG 2015-09-11 15:30:12,302 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `auth_user`.`id`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`password`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`is_superuser`, `auth_user`.`last_login`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 ; args=(1,)
DEBUG 2015-09-11 15:30:12,303 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT COUNT(*) FROM `clawer_clawertask`; args=()
DEBUG 2015-09-11 15:30:12,305 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.001) SELECT `clawer_clawertask`.`id`, `clawer_clawertask`.`clawer_id`, `clawer_clawertask`.`task_generator_id`, `clawer_clawertask`.`uri`, `clawer_clawertask`.`status`, `clawer_clawertask`.`store`, `clawer_clawertask`.`content_bytes`, `clawer_clawertask`.`content_encoding`, `clawer_clawertask`.`spend_time`, `clawer_clawertask`.`add_datetime`, `clawer_clawertask`.`start_datetime`, `clawer_clawertask`.`done_datetime` FROM `clawer_clawertask` ORDER BY `clawer_clawertask`.`id` DESC LIMIT 10; args=()
DEBUG 2015-09-11 15:30:12,308 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `clawer_clawer`.`id`, `clawer_clawer`.`name`, `clawer_clawer`.`info`, `clawer_clawer`.`status`, `clawer_clawer`.`add_datetime` FROM `clawer_clawer` WHERE `clawer_clawer`.`id` = 1 ; args=(1,)
DEBUG 2015-09-11 15:30:12,310 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `clawer_clawertaskgenerator`.`id`, `clawer_clawertaskgenerator`.`clawer_id`, `clawer_clawertaskgenerator`.`code`, `clawer_clawertaskgenerator`.`cron`, `clawer_clawertaskgenerator`.`status`, `clawer_clawertaskgenerator`.`failed_reason`, `clawer_clawertaskgenerator`.`add_datetime` FROM `clawer_clawertaskgenerator` WHERE (`clawer_clawertaskgenerator`.`status` = 4  AND `clawer_clawertaskgenerator`.`clawer_id` = 1 ) ORDER BY `clawer_clawertaskgenerator`.`id` DESC LIMIT 1; args=(4, 1)
