代号        省份        总共        爬取非空      爬取为空      共爬取       未爬取       爬取率       入库数       未入库       爬取为非空并入库  爬取并入库     
51        四川        0         0         0         0         0         0.0       0         0         0         0         
50        重庆        0         0         0         0         0         0.0       0         0         0         0         
61        陕西        0         0         0         0         0         0.0       0         0         0         0         
62        甘肃        0         0         0         0         0         0.0       0         0         0         0         
63        青海        0         0         0         0         0         0.0       0         0         0         0         
64        宁夏        0         0         0         0         0         0.0       0         0         0         0         
53        云南        0         0         0         0         0         0.0       0         0         0         0         
82        澳门        0         0         0         0         0         0.0       0         0         0         0         
52        贵州        0         0         0         0         0         0.0       0         0         0         0         
81        香港        0         0         0         0         0         0.0       0         0         0         0         
21        辽宁        0         0         0         0         0         0.0       0         0         0         0         
22        吉林        0         0         0         0         0         0.0       0         0         0         0         
23        黑龙江       0         0         0         0         0         0.0       0         0         0         0         
46        海南        0         0         0         0         0         0.0       0         0         0         0         
44        广东        0         0         0         0         0         0.0       0         0         0         0         
45        广西        0         0         0         0         0         0.0       0         0         0         0         
42        湖北        0         0         0         0         0         0.0       0         0         0         0         
43        湖南        0         0         0         0         0         0.0       0         0         0         0         
41        河南        0         0         0         0         0         0.0       0         0         0         0         
71        台湾        0         0         0         0         0         0.0       0         0         0         0         
91        总局        0         0         0         0         0         0.0       0         0         0         0         
11        北京        0         0         0         0         0         0.0       0         0         0         0         
10        总局        0         0         0         0         0         0.0       0         0         0         0         
13        河北        0         0         0         0         0         0.0       0         0         0         0         
12        天津        0         0         0         0         0         0.0       0         0         0         0         
15        内蒙古       0         0         0         0         0         0.0       0         0         0         0         
14        山西        0         0         0         0         0         0.0       0         0         0         0         
33        浙江        0         0         0         0         0         0.0       0         0         0         0         
32        江苏        0         0         0         0         0         0.0       0         0         0         0         
31        上海        0         0         0         0         0         0.0       0         0         0         0         
37        山东        0         0         0         0         0         0.0       0         0         0         0         
36        江西        0         0         0         0         0         0.0       0         0         0         0         
35        福建        0         0         0         0         0         0.0       0         0         0         0         
34        安徽        0         0         0         0         0         0.0       0         0         0         0         
54        西藏        0         0         0         0         0         0.0       0         0         0         0         
65        新疆        0         0         0         0         0         0.0       0         0         0         0         

总计        36        0         0         0         0         0         未         0         0         0         0         
